2, 0, 0.036344
4, 0, 0.112462
8, 0, 0.449846
16, 0, 1.673113
32, 0, 3.375837
64, 0, 6.548840
128, 0, 6.165167
256, 0, 7.082699
512, 0, 5.202229
1024, 0, 2.771196
2048, 0, 2.047626
4096, 0, 1.062191
8192, 0, 0.743322
4, 2, 0.094611
8, 2, 0.404099
8, 4, 0.476837
16, 2, 1.207182
16, 4, 1.177375
16, 8, 1.382136
32, 2, 3.126800
32, 4, 3.814696
32, 8, 4.015470
32, 16, 5.154995
64, 2, 5.019341
64, 4, 6.493103
64, 8, 7.516644
64, 16, 6.935814
64, 32, 6.079200
128, 2, 3.853230
128, 4, 6.364457
128, 8, 9.375598
128, 16, 9.734473
128, 32, 10.451223
128, 64, 8.225763
256, 2, 4.859488
256, 4, 5.887163
256, 8, 7.070391
256, 16, 7.512018
256, 32, 7.867890
256, 64, 7.289956
256, 128, 5.618888
512, 2, 3.859016
512, 4, 4.284860
512, 8, 4.674784
512, 16, 5.547074
512, 32, 4.628259
512, 64, 4.236530
512, 128, 5.289295
1024, 2, 3.044836
1024, 4, 4.144518
1024, 8, 3.959706
1024, 16, 2.982827
1024, 32, 4.033216
1024, 64, 3.359839
1024, 128, 2.967734
2048, 2, 2.340256
2048, 4, 2.720884
2048, 8, 2.340708
2048, 16, 2.934989
2048, 32, 2.939483
2048, 64, 3.159355
2048, 128, 2.977852
4096, 2, 1.497927
4096, 4, 2.062719
4096, 8, 2.136630
4096, 16, 1.890710
4096, 32, 2.167787
4096, 64, 2.178784
4096, 128, 2.255470
8192, 2, 1.220092
8192, 4, 1.787576
8192, 8, 1.905058
8192, 16, 1.856693
8192, 32, 1.822056
8192, 64, 1.969255
8192, 128, 1.969255
