2, 0, 0.123077
4, 0, 0.433898
8, 0, 1.484058
16, 0, 4.266666
32, 0, 8.110893
64, 0, 6.381304
128, 0, 10.566062
256, 0, 9.995006
512, 0, 10.424516
1024, 0, 8.342059
2048, 0, 6.868449
4096, 0, 4.269063
8192, 0, 3.635549
4, 2, 0.441379
8, 2, 1.296202
8, 4, 1.765517
16, 2, 3.900951
16, 4, 3.471186
16, 8, 4.266665
32, 2, 5.591809
32, 4, 7.992196
32, 8, 6.687348
32, 16, 7.953398
64, 2, 4.883457
64, 4, 7.550229
64, 8, 5.713686
64, 16, 8.327318
64, 32, 7.953397
128, 2, 5.506071
128, 4, 8.874206
128, 8, 7.310207
128, 16, 8.755645
128, 32, 8.329964
128, 64, 10.196187
256, 2, 7.202748
256, 4, 8.363849
256, 8, 9.920304
256, 16, 7.820525
256, 32, 8.132278
256, 64, 8.074043
256, 128, 8.450806
512, 2, 7.475677
512, 4, 8.928609
512, 8, 10.425034
512, 16, 9.007611
512, 32, 9.382601
512, 64, 9.164873
512, 128, 8.655010
1024, 2, 6.438315
1024, 4, 8.361099
1024, 8, 8.912248
1024, 16, 8.455875
1024, 32, 8.024151
1024, 64, 7.632355
1024, 128, 5.953822
2048, 2, 4.976024
2048, 4, 5.912795
2048, 8, 6.371454
2048, 16, 6.239347
2048, 32, 6.243556
2048, 64, 5.640065
2048, 128, 6.434079
4096, 2, 4.416301
4096, 4, 5.593120
4096, 8, 5.845844
4096, 16, 6.133185
4096, 32, 5.848255
4096, 64, 5.825063
4096, 128, 5.951385
8192, 2, 3.989925
8192, 4, 5.226009
8192, 8, 5.528281
8192, 16, 5.458468
8192, 32, 5.363735
8192, 64, 5.597361
8192, 128, 5.597361
