2, 0, 0.156098
4, 0, 0.624390
8, 0, 2.381395
16, 0, 8.714892
32, 0, 16.549492
64, 0, 29.388346
128, 0, 38.493973
256, 0, 34.177841
512, 0, 20.661598
1024, 0, 12.388931
2048, 0, 8.832971
4096, 0, 4.547466
8192, 0, 3.182614
4, 2, 0.441379
8, 2, 1.600000
8, 4, 1.678688
16, 2, 5.688887
16, 4, 5.389472
16, 8, 5.769013
32, 2, 9.416093
32, 4, 12.900785
32, 8, 16.890718
32, 16, 18.618177
64, 2, 19.799398
64, 4, 34.133335
64, 8, 29.789103
64, 16, 37.882088
64, 32, 37.449146
128, 2, 27.165186
128, 4, 27.392275
128, 8, 35.045986
128, 16, 40.267887
128, 32, 39.839516
128, 64, 39.779064
256, 2, 25.438526
256, 4, 22.324375
256, 8, 22.652325
256, 16, 34.560848
256, 32, 24.643385
256, 64, 33.046833
256, 128, 31.394495
512, 2, 18.692860
512, 4, 21.979265
512, 8, 25.254717
512, 16, 26.929726
512, 32, 26.452473
512, 64, 21.168385
512, 128, 22.817451
1024, 2, 12.775631
1024, 4, 16.439869
1024, 8, 17.271702
1024, 16, 18.418085
1024, 32, 18.411819
1024, 64, 17.009050
1024, 128, 14.653998
2048, 2, 9.903570
2048, 4, 10.638927
2048, 8, 12.251931
2048, 16, 11.734472
2048, 32, 11.494905
2048, 64, 10.390541
2048, 128, 9.993162
4096, 2, 6.285710
4096, 4, 8.893282
4096, 8, 9.602358
4096, 16, 9.751493
4096, 32, 9.461611
4096, 64, 9.494886
4096, 128, 9.709091
8192, 2, 5.231612
8192, 4, 7.447031
8192, 8, 7.467366
8192, 16, 7.971519
8192, 32, 7.871170
8192, 64, 8.542839
8192, 128, 8.542839
