#I1m LLim I1mr LLimr D1m LLdm D1mr LLdmr LLm LLmr
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,234 2,127 0.10 0.09 14,558 9,242 1.9 1.2 11,369 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,234 2,127 0.10 0.09 14,558 9,242 1.9 1.2 11,369 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,234 2,127 0.10 0.09 14,558 9,242 1.9 1.2 11,369 0.4 
2,234 2,127 0.10 0.09 14,558 9,242 1.9 1.2 11,369 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,234 2,127 0.10 0.09 14,558 9,242 1.9 1.2 11,369 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,234 2,127 0.10 0.09 14,558 9,242 1.9 1.2 11,369 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,234 2,127 0.10 0.09 14,558 9,242 1.9 1.2 11,369 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,234 2,127 0.10 0.09 14,558 9,242 1.9 1.2 11,369 0.4 
2,234 2,127 0.10 0.09 14,558 9,242 1.9 1.2 11,369 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,234 2,127 0.10 0.09 14,558 9,242 1.9 1.2 11,369 0.4 
2,234 2,127 0.10 0.09 14,558 9,242 1.9 1.2 11,369 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 
2,237 2,130 0.10 0.09 14,558 9,242 1.9 1.2 11,372 0.4 

2,234 2,127 0.10 0.09 14,561 9,245 1.9 1.2 11,372 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
2,234 2,127 0.10 0.09 14,561 9,245 1.9 1.2 11,372 0.4 
2,234 2,127 0.10 0.09 14,561 9,245 1.9 1.2 11,372 0.4 
2,234 2,127 0.10 0.09 14,561 9,245 1.9 1.2 11,372 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
2,234 2,127 0.10 0.09 14,561 9,245 1.9 1.2 11,372 0.4 
2,234 2,127 0.10 0.09 14,561 9,245 1.9 1.2 11,372 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
2,237 2,130 0.10 0.09 14,561 9,245 1.9 1.2 11,375 0.4 
