2, 0, 0.000001, 0.000000, 0.000004
4, 0, 0.000001, 0.000000, 0.000003
8, 0, 0.000001, 0.000000, 0.000009
16, 0, 0.000002, 0.000001, 0.000014
32, 0, 0.000004, 0.000002, 0.000008
64, 0, 0.000021, 0.000010, 0.000077
128, 0, 0.000050, 0.000035, 0.000079
256, 0, 0.000210, 0.000139, 0.000394
512, 0, 0.000805, 0.000558, 0.001958
1024, 0, 0.004022, 0.002314, 0.005881
2048, 0, 0.019541, 0.017874, 0.023992
4096, 0, 0.125758, 0.116203, 0.151758
8192, 0, 0.590690, 0.575693, 0.614214
4, 2, 0.000001, 0.000000, 0.000003
8, 2, 0.000002, 0.000000, 0.000004
8, 4, 0.000001, 0.000000, 0.000004
16, 2, 0.000002, 0.000001, 0.000005
16, 4, 0.000002, 0.000001, 0.000029
16, 8, 0.000002, 0.000001, 0.000005
32, 2, 0.000006, 0.000004, 0.000012
32, 4, 0.000004, 0.000003, 0.000007
32, 8, 0.000005, 0.000003, 0.000036
32, 16, 0.000004, 0.000003, 0.000007
64, 2, 0.000027, 0.000016, 0.000049
64, 4, 0.000017, 0.000011, 0.000029
64, 8, 0.000023, 0.000015, 0.000037
64, 16, 0.000016, 0.000011, 0.000029
64, 32, 0.000016, 0.000011, 0.000038
128, 2, 0.000095, 0.000059, 0.000171
128, 4, 0.000059, 0.000042, 0.000116
128, 8, 0.000072, 0.000044, 0.000155
128, 16, 0.000060, 0.000038, 0.000207
128, 32, 0.000063, 0.000040, 0.000115
128, 64, 0.000051, 0.000038, 0.000109
256, 2, 0.000291, 0.000197, 0.000507
256, 4, 0.000251, 0.000168, 0.000357
256, 8, 0.000211, 0.000155, 0.000570
256, 16, 0.000268, 0.000171, 0.000419
256, 32, 0.000258, 0.000158, 0.000577
256, 64, 0.000260, 0.000150, 0.000888
256, 128, 0.000248, 0.000145, 0.000436
512, 2, 0.001122, 0.000793, 0.002128
512, 4, 0.000940, 0.000670, 0.001919
512, 8, 0.000805, 0.000622, 0.001563
512, 16, 0.000931, 0.000607, 0.002059
512, 32, 0.000894, 0.000638, 0.001893
512, 64, 0.000915, 0.000605, 0.002220
512, 128, 0.000969, 0.000583, 0.002332
1024, 2, 0.005212, 0.003394, 0.007299
1024, 4, 0.004013, 0.002731, 0.006392
1024, 8, 0.003765, 0.002520, 0.005557
1024, 16, 0.003968, 0.002463, 0.005677
1024, 32, 0.004182, 0.002781, 0.006199
1024, 64, 0.004396, 0.002586, 0.006674
1024, 128, 0.005636, 0.002477, 0.010299
2048, 2, 0.026973, 0.023619, 0.033814
2048, 4, 0.022700, 0.018885, 0.032769
2048, 8, 0.021065, 0.017585, 0.031528
2048, 16, 0.021512, 0.019282, 0.036707
2048, 32, 0.021497, 0.018883, 0.025712
2048, 64, 0.023797, 0.019694, 0.037816
2048, 128, 0.020860, 0.018662, 0.026420
4096, 2, 0.121566, 0.110844, 0.166601
4096, 4, 0.095988, 0.091122, 0.104110
4096, 8, 0.091838, 0.085399, 0.103863
4096, 16, 0.087535, 0.082952, 0.094838
4096, 32, 0.091800, 0.086939, 0.098747
4096, 64, 0.092166, 0.086670, 0.101734
4096, 128, 0.090209, 0.085382, 0.106046
8192, 2, 0.538227, 0.518155, 0.571051
8192, 4, 0.410922, 0.390807, 0.434853
8192, 8, 0.388454, 0.366058, 0.448473
8192, 16, 0.393422, 0.373047, 0.467777
8192, 32, 0.400371, 0.380869, 0.429811
8192, 64, 0.383660, 0.367598, 0.403789
8192, 128, 0.383660, 0.349864, 0.382761
